47.253,193.2,53.341,-106.13,9.3847,-0.18588
30.091,-10.082,59.587,176.89,18.732,-0.0013605
56.709,-132.1,49.211,212.27,28.006,-0.70124
41.334,161.02,28.746,-70.755,37.169,-0.79335
38.379,-138.01,81.683,-247.64,46.186,-0.75547
48.194,340.04,54.323,-141.51,55.02,-0.078286
39.799,-152.8,61.042,141.51,63.637,-0.65119
43.324,107.89,51.395,-106.13,72.003,-0.98414
28.049,223.17,30.993,-176.89,80.085,-0.00026298
55.836,211.02,78.691,-212.27,87.851,-0.28794
19.425,253.99,28.189,-70.755,95.27,-4.3894e-06
37.091,-337.23,36.337,106.13,102.31,-0.27828
42.235,-260.42,47.992,-176.89,108.95,-1.6932
45.829,304.05,71.931,70.755,115.16,-0.28241
37.896,123.19,12.623,-106.13,120.92,-0.36801
29.697,109.69,77.306,-212.27,126.19,-0.12066
39.038,360.86,63.045,176.89,130.97,-0.54022
27.372,-25.874,73.527,-35.378,135.24,-0.00061882
43.552,-9.8138,65.746,141.51,138.96,-0.66268
30.356,-259.55,78.829,-176.89,142.15,-0.3071
43.985,-49.585,77.981,70.755,144.76,-0.7923
61.028,-377.29,44.455,106.13,146.81,-0.82736
32.279,-401.56,83.192,-106.13,148.28,-0.13349
36.408,-192.67,34.249,-212.27,149.17,-0.18985
46.685,-228.02,44.745,-141.51,149.46,-1.0354
25.842,86.868,78.631,212.27,149.17,-0.28025
42.161,-27.656,53.328,-70.755,148.28,-0.87093
35.334,-107.4,41.185,70.755,146.81,-0.40464
56.563,326.29,86.88,106.13,144.76,-0.00029831
55.517,157.11,31.81,-106.13,142.15,-0.00029301
43.126,-205.86,68.196,212.27,138.96,-0.71837
52.799,-255.52,74.598,106.13,135.24,-0.0042357
16.887,-267.32,23.279,70.755,130.97,-3.2997e-09
29.979,-243.52,76.609,-176.89,126.19,-0.063979
31.839,185.19,65.339,141.51,120.92,-0.007292
46.285,68.651,84.767,-35.378,115.16,-0.23639
46.716,-389.11,74.028,141.51,108.95,-0.16488
41.701,-351.11,65.132,-141.51,102.31,-0.80116
40.852,359.17,53.061,106.13,95.27,-0.86162
33.411,-366.86,52.287,-35.378,87.851,-0.19585
41.965,189.07,77.562,-176.89,80.085,-0.946
48.53,-27.428,45.792,-141.51,72.003,-1.0098
39.182,-25.667,59.406,212.27,63.637,-0.56214
48.573,-101.5,76.978,106.13,55.02,-0.1223
35.579,-8.4099,64.908,70.755,46.186,-0.11782
52.741,-357.66,45.587,-106.13,37.169,-0.96108
31.865,297.44,48.9,35.378,28.006,-0.76681
52.978,155.45,77.049,106.13,18.732,-0.095973
48.93,-217.53,55.841,-35.378,9.3847,-0.026896
35.133,-136.46,49.449,70.755,1.8304e-14,-0.7449
29.082,41.483,78.006,176.89,-9.3847,-0.19979
45.147,-141.83,51.798,176.89,-18.732,-0.62525
29.504,-42.134,52.277,35.378,-28.006,-0.17082
21.773,-274.45,52.581,70.755,-37.169,-0.13772
37.011,282.28,42.062,35.378,-46.186,-0.68103
26.16,-354.47,74.078,212.27,-55.02,-0.0016815
40.5,-12.412,65.755,35.378,-63.637,-0.73468
35.079,170.49,20.721,70.755,-72.003,-0.086714
34.232,205,57.254,35.378,-80.085,-0.049819
37.025,75.131,47.93,-106.13,-87.851,-1.1634
39.359,275.49,61.057,-106.13,-95.27,-0.58863
30.607,220.37,73.027,35.378,-102.31,-0.0024704
36.587,35.32,60.37,176.89,-108.95,-0.20482
30.745,-36.143,53.865,212.27,-115.16,-0.050475
39.091,97.198,70.875,-0,-120.92,-0.5484
32.504,-211.37,98.803,-106.13,-126.19,-0.012714
22.861,-152.84,56.323,-70.755,-130.97,-0.0025715
38.982,306.37,41.95,-106.13,-135.24,-0.94358
45.259,-34.355,29.733,0,-138.96,-0.37546
47.386,-181.33,79.783,-35.378,-142.15,-0.49568
36.343,107.65,48.998,-106.13,-144.76,-0.92204
30.508,245.69,47.792,-35.378,-146.81,-0.92847
34.173,-113.06,32.93,-212.27,-148.28,-0.048146
39.693,-161.1,62.581,35.378,-149.17,-0.63659
15.56,-342.9,61.474,-70.755,-149.46,-5.3847e-09
34.663,237.61,32.231,-141.51,-149.17,-0.066632
22.42,43.3,68.426,106.13,-148.28,-4.4707e-08
44.172,167.75,54.392,141.51,-146.81,-0.5933
57.797,-394.6,76.129,70.755,-144.76,-0.037005
42.395,-89.939,65.02,-141.51,-142.15,-0.78284
31.766,-260.88,70.806,-35.378,-138.96,-0.0068283
30.515,113.57,78.788,70.755,-135.24,-0.30239
29.129,265.49,50.076,-106.13,-130.97,-0.53089
42.252,365.12,69.519,176.89,-126.19,-0.79016
33.474,-299.61,68.613,-35.378,-120.92,-0.028267
58.766,36.951,50.363,176.89,-115.16,-0.47411
29.188,285.22,83.419,176.89,-108.95,-0.10029
43.743,225.53,37.598,247.64,-102.31,-0.67607
40.569,99.727,64.043,-35.378,-95.27,-0.74147
33.784,-120.99,44.06,70.755,-87.851,-0.80139
50.74,-154.97,72.478,-176.89,-80.085,-0.0018234
36.146,230.87,39.707,-70.755,-72.003,-0.31137
52.624,357,100.87,-176.89,-63.637,0.026373
32.99,-203.17,57.494,70.755,-55.02,-0.019723
